Zeitstempel,Welche der folgenden Entwicklungsumgebungen hast du im letzten Jahr benutzt?,Welche der folgenden Entwicklungsumgebungen hast du am Anfang deines Studiums (1./2. Semester) genutzt?,Welche IDE nutzt du am meisten?,Welche IDE findest du am besten?,Warum findest du diese IDE am besten?,Welchen konsolenbasierten Editor nutzt du am meisten?,Welchen konsolenbasierten Editor findest du am besten?,Warum findest du diesen Editor am besten?,Welchen Editor mit GUI nutzt du am meisten?,Welchen Editor mit GUI findest du am besten?,Warum findest du diesen Editor mit GUI am besten?,Wie bewertest du deine Erfahrung mit diesen Entwicklungsumgebungen? [IntelliJ],Wie bewertest du deine Erfahrung mit diesen Entwicklungsumgebungen? [Eclipse],Wie bewertest du deine Erfahrung mit diesen Entwicklungsumgebungen? [Xcode],Wie bewertest du deine Erfahrung mit diesen Entwicklungsumgebungen? [Vim],Wie bewertest du deine Erfahrung mit diesen Entwicklungsumgebungen? [Atom],Wie bewertest du deine Erfahrung mit diesen Entwicklungsumgebungen? [Microsoft Visual Studio],Wie bewertest du deine Erfahrung mit diesen Entwicklungsumgebungen? [Netbeans],Wie bewertest du deine Erfahrung mit diesen Entwicklungsumgebungen? [PyCharm],Wie bewertest du deine Erfahrung mit diesen Entwicklungsumgebungen? [Code::Blocks],Wie bewertest du deine Erfahrung mit diesen Entwicklungsumgebungen? [Sublime],Wie bewertest du deine Erfahrung mit diesen Entwicklungsumgebungen? [Gedit],Welche Entwicklungsumgebungen nutzt du für diese Sprachen? [IntelliJ],Welche Entwicklungsumgebungen nutzt du für diese Sprachen? [Eclipse],Welche Entwicklungsumgebungen nutzt du für diese Sprachen? [Xcode],Welche Entwicklungsumgebungen nutzt du für diese Sprachen? [Vim],Welche Entwicklungsumgebungen nutzt du für diese Sprachen? [Atom],Welche Entwicklungsumgebungen nutzt du für diese Sprachen? [Microsoft Visual Studio],Welche Entwicklungsumgebungen nutzt du für diese Sprachen? [Netbeans],Welche Entwicklungsumgebungen nutzt du für diese Sprachen? [PyCharm],Welche Entwicklungsumgebungen nutzt du für diese Sprachen? [Code::Blocks],Welche Entwicklungsumgebungen nutzt du für diese Sprachen? [Sublime],Welche Entwicklungsumgebungen nutzt du für diese Sprachen? [Gedit],"Was sind Features, die dir in einer Entwicklungsumgebung am wichtigsten sind?"
31.05.2019 13:39:44,"IDEs (IntelliJ, Eclipse, Xcode, etc.), Konsolenbasierte Editoren (Vim,  Nano, ed, etc.), Editoren mit GUI (Sublime, Atom, Gedit, etc.)","IDEs (IntelliJ, Eclipse, Xcode, etc.), Konsolenbasierte Editoren (Vim,  Nano, ed, etc.), Editoren mit GUI (Sublime, Atom, Gedit, etc.)",Atom mit IDE-Plugins,Atom mit IDE-Plugins,"Schnell, flexibel",Nano,Nano,"Gewohnheit, Bedienung",Notepad++,Notepad++,"Schnell, flexibel, übersichtlich",Nicht einschätzbar,Gut,Nicht einschätzbar,Schlecht,Sehr gut,Mittelmäßig,Nicht einschätzbar,Nicht einschätzbar,Nicht einschätzbar,Schlecht,Nicht einschätzbar,,"C/C++, Java/Kotlin",,,"Java/Kotlin, JavaScript",C#,,,,,,"Codevervollständigung, Syntax-Highlighting, Geringer Verbrauch (Speicher, Leistung, etc.)"
31.05.2019 13:39:58,"Konsolenbasierte Editoren (Vim,  Nano, ed, etc.)","Konsolenbasierte Editoren (Vim,  Nano, ed, etc.)",Keine,"QtCreator, KDevelop, VSCode","Verstehen C (und nicht nur C++) mit Clang, x-platform, Opensource, simpel, vi-mode",Vim,Vim,"klein, schnell, mächtig",Keinen,Keinen,Nicht in der Konsole nutzbar und damit häufig unbrauchbar,Gut,Mittelmäßig,Schlecht,,Mittelmäßig,Sehr schlecht,Schlecht,Mittelmäßig,Mittelmäßig,Mittelmäßig,Mittelmäßig,"Java/Kotlin, C#",,,"C/C++, Java/Kotlin, JavaScript, C#, Python, Bash/Konsolen-Scripts",,"JavaScript, C#",,,,,,"Syntax-Highlighting, Geringer Verbrauch (Speicher, Leistung, etc.), Sollte nicht mit Bling-Bling im Weg rumstehen"
31.05.2019 13:43:31,"IDEs (IntelliJ, Eclipse, Xcode, etc.), Konsolenbasierte Editoren (Vim,  Nano, ed, etc.)","IDEs (IntelliJ, Eclipse, Xcode, etc.), Konsolenbasierte Editoren (Vim,  Nano, ed, etc.)",Eclipse,Eclipse,,Vim,Vim,,Visual Studio Code,Visual Studio Code,,,Sehr gut,Gut,Gut,,,,,,,,,Java/Kotlin,,Bash/Konsolen-Scripts,,,,,,,,"Codevervollständigung, Debugger, Syntax-Highlighting, Geringer Verbrauch (Speicher, Leistung, etc.)"
31.05.2019 13:43:45,"IDEs (IntelliJ, Eclipse, Xcode, etc.), Konsolenbasierte Editoren (Vim,  Nano, ed, etc.), Editoren mit GUI (Sublime, Atom, Gedit, etc.)","IDEs (IntelliJ, Eclipse, Xcode, etc.), Konsolenbasierte Editoren (Vim,  Nano, ed, etc.)",PyCharm,Microsoft Visual Studio,"einfache Bedienung, Übersichtlichkeit, ein Tool mit (fast allen) benötigten Funktionalitäten",Vim,Keinen,,Notepad++,Notepad++,"zuerst benutzt, in meinem Umfeld weit verbreitet, gute Funktionalität",,Gut,Nicht einschätzbar,Gut,Sehr gut,Sehr gut,Gut,Sehr gut,Nicht einschätzbar,Nicht einschätzbar,Mittelmäßig,,Java/Kotlin,,Bash/Konsolen-Scripts,JavaScript,C#,Java/Kotlin,,,,,"Codevervollständigung, Debugger, Syntax-Highlighting"
31.05.2019 13:46:46,"IDEs (IntelliJ, Eclipse, Xcode, etc.), Editoren mit GUI (Sublime, Atom, Gedit, etc.)","IDEs (IntelliJ, Eclipse, Xcode, etc.)",IntelliJ,IntelliJ,,Nano,Nano,Einfach,Atom,Sublime,,Sehr gut,Mittelmäßig,Nicht einschätzbar,Nicht einschätzbar,Gut,Gut,Gut,Nicht einschätzbar,Nicht einschätzbar,Sehr gut,Mittelmäßig,Java/Kotlin,"C/C++, Java/Kotlin",,,"JavaScript, PHP, Python, Bash/Konsolen-Scripts",Python,Java/Kotlin,,,"Java/Kotlin, JavaScript, Python",,"Codevervollständigung, VCS-Tools (beispielsweise für Git), Debugger, Syntax-Highlighting, Geringer Verbrauch (Speicher, Leistung, etc.)"
31.05.2019 13:47:08,"IDEs (IntelliJ, Eclipse, Xcode, etc.), Konsolenbasierte Editoren (Vim,  Nano, ed, etc.), Editoren mit GUI (Sublime, Atom, Gedit, etc.)","IDEs (IntelliJ, Eclipse, Xcode, etc.), Konsolenbasierte Editoren (Vim,  Nano, ed, etc.), Editoren mit GUI (Sublime, Atom, Gedit, etc.)",IntelliJ,IntelliJ,,Vim,Vim,,Gvim,Gvim,,Sehr gut,Gut,Nicht einschätzbar,Sehr gut,Gut,Gut,Mittelmäßig,Sehr gut,Gut,Sehr gut,Mittelmäßig,"Java/Kotlin, JavaScript",,,"Java/Kotlin, Python, Bash/Konsolen-Scripts","C/C++, JavaScript, Bash/Konsolen-Scripts",,,,C/C++,"JavaScript, Bash/Konsolen-Scripts","JavaScript, Bash/Konsolen-Scripts","Codevervollständigung, Debugger, Syntax-Highlighting"
31.05.2019 13:54:05,"IDEs (IntelliJ, Eclipse, Xcode, etc.), Konsolenbasierte Editoren (Vim,  Nano, ed, etc.), Editoren mit GUI (Sublime, Atom, Gedit, etc.)","IDEs (IntelliJ, Eclipse, Xcode, etc.), Editoren mit GUI (Sublime, Atom, Gedit, etc.)",IntelliJ,IntelliJ,,Nano,Vim,,Sublime,Sublime,,Sehr gut,Mittelmäßig,Mittelmäßig,Gut,Gut,Gut,Mittelmäßig,Sehr gut,Mittelmäßig,Sehr gut,Mittelmäßig,"Java/Kotlin, JavaScript, Python, Bash/Konsolen-Scripts",Java/Kotlin,,Bash/Konsolen-Scripts,,,,,,JavaScript,,"Codevervollständigung, Debugger, Syntax-Highlighting"
31.05.2019 13:56:39,"IDEs (IntelliJ, Eclipse, Xcode, etc.), Konsolenbasierte Editoren (Vim,  Nano, ed, etc.), Editoren mit GUI (Sublime, Atom, Gedit, etc.)","IDEs (IntelliJ, Eclipse, Xcode, etc.)",Keine,Keine,,Nano,Keinen,,Visual Studio Code,Visual Studio Code,Sehr vielfältig. Jupyter Notebook integriert ,Nicht einschätzbar,Mittelmäßig,Nicht einschätzbar,Mittelmäßig,Mittelmäßig,Nicht einschätzbar,Nicht einschätzbar,Nicht einschätzbar,Mittelmäßig,Nicht einschätzbar,Gut,,"C/C++, Java/Kotlin",,,,,,,"C/C++, Java/Kotlin",,"C/C++, Python, Bash/Konsolen-Scripts","Codevervollständigung, Syntax-Highlighting, Geringer Verbrauch (Speicher, Leistung, etc.)"
31.05.2019 13:57:44,"IDEs (IntelliJ, Eclipse, Xcode, etc.), Konsolenbasierte Editoren (Vim,  Nano, ed, etc.), Editoren mit GUI (Sublime, Atom, Gedit, etc.)","IDEs (IntelliJ, Eclipse, Xcode, etc.), Editoren mit GUI (Sublime, Atom, Gedit, etc.)",Eclipse,Eclipse,,Vim,Vim,,Notepad++,Notepad++,,Gut,Sehr gut,Nicht einschätzbar,Gut,Nicht einschätzbar,Mittelmäßig,Mittelmäßig,Gut,Nicht einschätzbar,Nicht einschätzbar,Sehr schlecht,"C/C++, Python",Java/Kotlin,,Bash/Konsolen-Scripts,,C#,,,,,,"Codevervollständigung, Debugger, Syntax-Highlighting"
31.05.2019 14:00:42,"IDEs (IntelliJ, Eclipse, Xcode, etc.), Editoren mit GUI (Sublime, Atom, Gedit, etc.)","Editoren mit GUI (Sublime, Atom, Gedit, etc.)",Atom mit IDE-Plugins,Keine,,Keinen,Keinen,,Atom,Keinen,,Nicht einschätzbar,Gut,Nicht einschätzbar,Nicht einschätzbar,Mittelmäßig,Gut,Nicht einschätzbar,Nicht einschätzbar,Nicht einschätzbar,Nicht einschätzbar,Nicht einschätzbar,,"C/C++, Java/Kotlin",,,"C/C++, Java/Kotlin, C#, Python, Bash/Konsolen-Scripts","C/C++, C#",,,,,,"Codevervollständigung, Debugger, Syntax-Highlighting, Geringer Verbrauch (Speicher, Leistung, etc.)"
31.05.2019 14:08:30,"IDEs (IntelliJ, Eclipse, Xcode, etc.), Konsolenbasierte Editoren (Vim,  Nano, ed, etc.)","Konsolenbasierte Editoren (Vim,  Nano, ed, etc.)",Eclipse,Eclipse,,Vim,Vim,,Notepad++,Notepad++,,Nicht einschätzbar,Gut,Nicht einschätzbar,Sehr gut,Nicht einschätzbar,Mittelmäßig,Gut,Nicht einschätzbar,Nicht einschätzbar,Nicht einschätzbar,Mittelmäßig,,"C/C++, Java/Kotlin",,"Python, Bash/Konsolen-Scripts",,C/C++,,,,,Bash/Konsolen-Scripts,"Codevervollständigung, Debugger, Syntax-Highlighting, Übersichtliche Projektverwaltung"
31.05.2019 14:08:59,"IDEs (IntelliJ, Eclipse, Xcode, etc.), Konsolenbasierte Editoren (Vim,  Nano, ed, etc.)","IDEs (IntelliJ, Eclipse, Xcode, etc.)",IntelliJ,IntelliJ,,Vim,Vim,,Gedit,Visual Studio Code,,Sehr gut,Mittelmäßig,Nicht einschätzbar,Sehr gut,Nicht einschätzbar,Gut,Nicht einschätzbar,Sehr gut,Nicht einschätzbar,Mittelmäßig,Sehr schlecht,"Java/Kotlin, JavaScript, PHP, Python",,,"C/C++, Bash/Konsolen-Scripts",,,,,,,,"Codevervollständigung, Codegenerierung, Debugger, Syntax-Highlighting"
31.05.2019 14:10:45,"Konsolenbasierte Editoren (Vim,  Nano, ed, etc.)","IDEs (IntelliJ, Eclipse, Xcode, etc.), Konsolenbasierte Editoren (Vim,  Nano, ed, etc.), Editoren mit GUI (Sublime, Atom, Gedit, etc.)",Keine,Keine,,Vim,Vim,,Keinen,Keinen,,Schlecht,Schlecht,Nicht einschätzbar,Gut,Gut,Nicht einschätzbar,Schlecht,Nicht einschätzbar,Nicht einschätzbar,Mittelmäßig,Mittelmäßig,,,,"C/C++, JavaScript, PHP, Python, Bash/Konsolen-Scripts",,,,,,,,"Geringer Verbrauch (Speicher, Leistung, etc.), müssen in der shell laufen"
31.05.2019 14:16:49,"IDEs (IntelliJ, Eclipse, Xcode, etc.), Editoren mit GUI (Sublime, Atom, Gedit, etc.)","IDEs (IntelliJ, Eclipse, Xcode, etc.), Editoren mit GUI (Sublime, Atom, Gedit, etc.)",PyCharm,IntelliJ,,Vim,Vim,,Sublime,Sublime,,Sehr gut,Mittelmäßig,Nicht einschätzbar,Gut,Nicht einschätzbar,Gut,Nicht einschätzbar,Sehr gut,Gut,Sehr gut,Mittelmäßig,Java/Kotlin,Java/Kotlin,,"Python, Bash/Konsolen-Scripts",,C/C++,,,C/C++,"C/C++, Python, Bash/Konsolen-Scripts","C/C++, Python, Bash/Konsolen-Scripts","Codevervollständigung, Debugger, Syntax-Highlighting"
31.05.2019 14:35:11,"Konsolenbasierte Editoren (Vim,  Nano, ed, etc.)","IDEs (IntelliJ, Eclipse, Xcode, etc.)",Keine,Keine,,Vim,Vim,"Lässt sich einfach mit Plugins zu einer vollwertigen schnellen IDE umfunktionieren. Kann einfach über ssh benutzt werden. Hat sehr gute Makros, usw.",Keinen,Keinen,,Mittelmäßig,Sehr schlecht,Schlecht,Sehr gut,Mittelmäßig,Schlecht,Schlecht,Nicht einschätzbar,Nicht einschätzbar,Mittelmäßig,Mittelmäßig,,,,"C/C++, Java/Kotlin, JavaScript, C#, Python, Bash/Konsolen-Scripts",,,,,,,,"Codevervollständigung, Syntax-Highlighting, Geringer Verbrauch (Speicher, Leistung, etc.), einfach (und schnell) über ssh benutzbar und ohne Maus bedienbar. Einfach zu erweitern."
31.05.2019 14:46:48,"IDEs (IntelliJ, Eclipse, Xcode, etc.), Konsolenbasierte Editoren (Vim,  Nano, ed, etc.), Editoren mit GUI (Sublime, Atom, Gedit, etc.)","IDEs (IntelliJ, Eclipse, Xcode, etc.), Konsolenbasierte Editoren (Vim,  Nano, ed, etc.), Editoren mit GUI (Sublime, Atom, Gedit, etc.)",JetBrains IDEs (besonders PHPStorm),JetBrains IDEs,"JetBrains bietet IDEs für alle möglichen Programmiersprachen an, die alle gleich funktionieren, aber nativ die Programmiersprachen und ihre Eigenheiten unterstützen, was sehr praktisch ist, wenn man mit verschiedenen Sprachen arbeitet.",Vim,Vim,,Visual Studio Code,Visual Studio Code,"Plugins für alle möglichen Sprachen, sieht gut aus, kann so ziemlich alles.",Gut,Sehr gut,Nicht einschätzbar,Mittelmäßig,Nicht einschätzbar,Gut,Nicht einschätzbar,Sehr gut,Nicht einschätzbar,Gut,Nicht einschätzbar,,Java/Kotlin,,,,C#,,,,,,"Codevervollständigung, Codegenerierung, VCS-Tools (beispielsweise für Git), Syntax-Highlighting"
31.05.2019 14:59:44,"IDEs (IntelliJ, Eclipse, Xcode, etc.), Konsolenbasierte Editoren (Vim,  Nano, ed, etc.), Editoren mit GUI (Sublime, Atom, Gedit, etc.)","IDEs (IntelliJ, Eclipse, Xcode, etc.), Konsolenbasierte Editoren (Vim,  Nano, ed, etc.), Editoren mit GUI (Sublime, Atom, Gedit, etc.)",IntelliJ,IntelliJ,"Leicht verständliches, konsistentes Design. Gute Auto Vervollständigung. ",Nano,Nano,Einfach zu nutzen,Visual Studio Code,Visual Studio Code,"Wie Atom, aber in schnell. ",Sehr gut,Sehr schlecht,Gut,Schlecht,Mittelmäßig,Gut,Nicht einschätzbar,Nicht einschätzbar,Mittelmäßig,Nicht einschätzbar,Nicht einschätzbar,Java/Kotlin,Java/Kotlin,,,"Java/Kotlin, JavaScript, Python","Java/Kotlin, JavaScript, Python",,,C/C++,,,"Codevervollständigung, Debugger, Syntax-Highlighting, Sinnvolles und stilvolles Design."
31.05.2019 15:05:29,"IDEs (IntelliJ, Eclipse, Xcode, etc.), Konsolenbasierte Editoren (Vim,  Nano, ed, etc.)","IDEs (IntelliJ, Eclipse, Xcode, etc.)",Microsoft Visual Studio,Microsoft Visual Studio,"Es ist alles da, was man benötigt, und es gibt sehr viele nützliche Add-Ons von der Community. Die IDE ist außerdem einsteigerfreundlich aber trotzdem auch für Profis gut geeignet.",Vim,Vim,,Visual Studio Code,Visual Studio Code,,,Gut,,Gut,,Sehr gut,,Sehr gut,Gut,,,,Java/Kotlin,,"C/C++, Python",,"C/C++, C#",,,C/C++,,,"Codevervollständigung, Syntax-Highlighting"
31.05.2019 15:09:32,"IDEs (IntelliJ, Eclipse, Xcode, etc.), Konsolenbasierte Editoren (Vim,  Nano, ed, etc.), Editoren mit GUI (Sublime, Atom, Gedit, etc.)","IDEs (IntelliJ, Eclipse, Xcode, etc.)",Visiual Studio Code,Visual Studio Code,"open source, cross-platform, für alles gleich gut nutzbar, sehr featurereich",Vim,Vim,"Anpassbarkeit der Features, des Layouts und der Nutzung und war der erste konsolanbasierte Editor den ich lernte, danach bestand kein Bedarf mehr einen anderen zu können, da universell verfügbar auf allen linux-basierten Systemen.",Visual Studio Code,Visual Studio Code,siehe oben,Schlecht,Mittelmäßig,Sehr schlecht,Gut,Gut,Nicht einschätzbar,Nicht einschätzbar,Nicht einschätzbar,Nicht einschätzbar,Mittelmäßig,Mittelmäßig,,,,"C/C++, JavaScript, PHP, Bash/Konsolen-Scripts","C/C++, JavaScript, PHP, Bash/Konsolen-Scripts",,,,,"C/C++, JavaScript, PHP, Bash/Konsolen-Scripts","C/C++, JavaScript, PHP, Bash/Konsolen-Scripts","Codevervollständigung, Codegenerierung, Debugger, Syntax-Highlighting, Geringer Verbrauch (Speicher, Leistung, etc.)"
31.05.2019 15:10:50,"IDEs (IntelliJ, Eclipse, Xcode, etc.), Konsolenbasierte Editoren (Vim,  Nano, ed, etc.)","IDEs (IntelliJ, Eclipse, Xcode, etc.)",IntelliJ,IntelliJ,,Vim,Keinen,,Gedit,Notepad++,,Gut,Gut,Nicht einschätzbar,Mittelmäßig,Nicht einschätzbar,Nicht einschätzbar,Nicht einschätzbar,Gut,Nicht einschätzbar,Nicht einschätzbar,Mittelmäßig,Python,Java/Kotlin,,Python,,,,,,,Python,"Codevervollständigung, VCS-Tools (beispielsweise für Git), Syntax-Highlighting"
31.05.2019 15:14:38,"IDEs (IntelliJ, Eclipse, Xcode, etc.), Editoren mit GUI (Sublime, Atom, Gedit, etc.)","IDEs (IntelliJ, Eclipse, Xcode, etc.), Konsolenbasierte Editoren (Vim,  Nano, ed, etc.), Editoren mit GUI (Sublime, Atom, Gedit, etc.)",IntelliJ,IntelliJ,,Vim,Keinen,,Notepad++,Gedit,,Sehr gut,Mittelmäßig,,Mittelmäßig,Gut,Gut,,,,Gut,Gut,"Java/Kotlin, JavaScript",,,,,C#,,,,,"C/C++, Python, Bash/Konsolen-Scripts","Codevervollständigung, VCS-Tools (beispielsweise für Git), Debugger, Syntax-Highlighting"
31.05.2019 15:17:05,"Konsolenbasierte Editoren (Vim,  Nano, ed, etc.)","IDEs (IntelliJ, Eclipse, Xcode, etc.), Editoren mit GUI (Sublime, Atom, Gedit, etc.)",Keine,Keine,,Vim,Vim,"Ich will die Vim vs Emacs Debatte gar nicht aufmachen, dafür hab ich von Emacs einfach keine Ahnung. Ich finde vim am besten, weil ich mich damit auskenne und effizient arbeiten kann. Micro zb sagt mir gar nichts und nano ist, wenn ichs grad nicht verwechsle einfach nur richtig krampfig.",Gedit,Keinen,,Gut,Mittelmäßig,Nicht einschätzbar,Gut,Nicht einschätzbar,Nicht einschätzbar,Nicht einschätzbar,Gut,Nicht einschätzbar,Nicht einschätzbar,Mittelmäßig,Java/Kotlin,,,"C/C++, Java/Kotlin, JavaScript, PHP, Python, Bash/Konsolen-Scripts",,,,,,,,"Codevervollständigung, Debugger, Syntax-Highlighting, Verständlichkeit. Eclipse hat mich am Anfang des Studiums komplett überfordert und seitdem hab ich eine Art Abversion gegenüber IDEs; leicht im Code springen können und alle Benutzungen einer Funktion, bzw deren Definition, finden können"
31.05.2019 15:17:24,"IDEs (IntelliJ, Eclipse, Xcode, etc.), Editoren mit GUI (Sublime, Atom, Gedit, etc.)","IDEs (IntelliJ, Eclipse, Xcode, etc.), Editoren mit GUI (Sublime, Atom, Gedit, etc.)",Atom mit IDE-Plugins,IntelliJ,"Code vervollständigungsvorschläge, markiert Fehler und man kann auf Funktionen und variablen klicken und landet sofort bei ihrer definition",Nano,Keinen,,Atom,Atom,"Atom ist open source, nicht so sehr von Microsoft wie vs code, leicht und schnell zu installieren, bietet schon ohne plugins viel Funktionalität und mit noch mehr, das Icon sieht gut aus und der Editor an sich sieht auch gut aus",Sehr gut,Mittelmäßig,Nicht einschätzbar,Nicht einschätzbar,Sehr gut,Sehr gut,Nicht einschätzbar,Sehr gut,Nicht einschätzbar,Mittelmäßig,Mittelmäßig,Java/Kotlin,,,,"JavaScript, Bash/Konsolen-Scripts",JavaScript,,,,,,"Codevervollständigung, VCS-Tools (beispielsweise für Git), Debugger, Syntax-Highlighting, Zur definition einer funktion springen wenn man auf einen funktionsaufruf klickt"
31.05.2019 15:30:05,"IDEs (IntelliJ, Eclipse, Xcode, etc.), Konsolenbasierte Editoren (Vim,  Nano, ed, etc.), Editoren mit GUI (Sublime, Atom, Gedit, etc.)","Editoren mit GUI (Sublime, Atom, Gedit, etc.)",Eclipse,Eclipse,"Anfänglich Empfehlung von Kommilitonen, außerdem deckt Eclipse eine Bandbreite an Sprachen ab, was bei Visual Studio z. B. früher nicht der Fall war. Zusätzlich musste eine kostenpflichtige Lizenz erworben werden (obwohl man die über die Uni kostenlos bekommen kann).",Nano,Nano,"Nano ist sehr einfach, keine umständliche Bedienung mit vielen Sonderfunktionen, daher einfache Einarbeitung.",Notepad++,Notepad++,"Bietet von Hause aus Zustzfunktionen, die aber nicht zwingend genutzt werden müssen und lässt sich im Zweifelsfall wie ein Texteditor verwenden. Letzte Ansicht wird ohne Probleme immer gespeichert.",Nicht einschätzbar,Gut,Nicht einschätzbar,Nicht einschätzbar,Nicht einschätzbar,Mittelmäßig,Nicht einschätzbar,Nicht einschätzbar,Nicht einschätzbar,Nicht einschätzbar,Mittelmäßig,,"C/C++, Java/Kotlin, JavaScript, PHP, Python",,,,"C/C++, C#",,,,,,"Codevervollständigung, Debugger, Syntax-Highlighting, Erweiterbarkeit (z. B. über Plugins); Code muss im Vordergrund stehen und nicht die Bedienelemente und Buttons"
31.05.2019 15:32:22,"IDEs (IntelliJ, Eclipse, Xcode, etc.), Editoren mit GUI (Sublime, Atom, Gedit, etc.)","Editoren mit GUI (Sublime, Atom, Gedit, etc.)",Microsoft Visual Studio,Microsoft Visual Studio,"Beste Unterstützung für C/C++ Debugging, beste UI/UX Features (autocompletion etc.)",Nano,Keinen,,Visual Studio Code,Visual Studio Code,"Beste UI/UX, zahlreiches Extension-Ecosystem, cross-platform-Verfügbarkeit",Sehr gut,Schlecht,Nicht einschätzbar,Sehr schlecht,Nicht einschätzbar,Sehr gut,Nicht einschätzbar,Sehr gut,Nicht einschätzbar,Gut,Mittelmäßig,Java/Kotlin,,,,,C/C++,,,,,,"Codevervollständigung, Debugger, Syntax-Highlighting"
31.05.2019 15:57:33,"IDEs (IntelliJ, Eclipse, Xcode, etc.)","IDEs (IntelliJ, Eclipse, Xcode, etc.)",Eclipse,Microsoft Visual Studio,,Nano,Keinen,,Notepad++,Notepad++,,Nicht einschätzbar,Gut,Nicht einschätzbar,Nicht einschätzbar,Nicht einschätzbar,Gut,Mittelmäßig,Nicht einschätzbar,Nicht einschätzbar,Nicht einschätzbar,Nicht einschätzbar,,Java/Kotlin,,,,"C/C++, PHP, Python",,,,,,"Codevervollständigung, VCS-Tools (beispielsweise für Git)"
31.05.2019 16:00:43,"IDEs (IntelliJ, Eclipse, Xcode, etc.), Konsolenbasierte Editoren (Vim,  Nano, ed, etc.), Editoren mit GUI (Sublime, Atom, Gedit, etc.)","IDEs (IntelliJ, Eclipse, Xcode, etc.), Konsolenbasierte Editoren (Vim,  Nano, ed, etc.), Editoren mit GUI (Sublime, Atom, Gedit, etc.)",Eclipse,Keine,,Vim,Vim,"Hohe Effektivität und Effizienz, kenne ihn",Atom,Atom,Kann Rust,Nicht einschätzbar,Gut,Schlecht,Sehr gut,Gut,Mittelmäßig,Nicht einschätzbar,Nicht einschätzbar,Nicht einschätzbar,Nicht einschätzbar,Mittelmäßig,,"C/C++, Java/Kotlin",,"C/C++, Java/Kotlin, JavaScript, PHP, Python, Bash/Konsolen-Scripts","C/C++, Java/Kotlin, JavaScript, PHP, Python, Bash/Konsolen-Scripts",,,,,,"C/C++, Java/Kotlin, JavaScript, PHP, Python, Bash/Konsolen-Scripts","Codevervollständigung, Codegenerierung, Debugger, Syntax-Highlighting, Refactoring, eingebundene API Dukomentation, "
31.05.2019 16:06:42,"IDEs (IntelliJ, Eclipse, Xcode, etc.), Konsolenbasierte Editoren (Vim,  Nano, ed, etc.), Editoren mit GUI (Sublime, Atom, Gedit, etc.)","IDEs (IntelliJ, Eclipse, Xcode, etc.), Editoren mit GUI (Sublime, Atom, Gedit, etc.)",Microsoft Visual Studio,Microsoft Visual Studio,,Nano,Keinen,,Visual Studio Code,Visual Studio Code,,Nicht einschätzbar,Gut,Nicht einschätzbar,Schlecht,Gut,Gut,Mittelmäßig,Nicht einschätzbar,Nicht einschätzbar,Nicht einschätzbar,Schlecht,,Java/Kotlin,,,"Python, Bash/Konsolen-Scripts",C/C++,,,,,Bash/Konsolen-Scripts,"Codevervollständigung, Codegenerierung, VCS-Tools (beispielsweise für Git), Syntax-Highlighting"
31.05.2019 16:08:56,"IDEs (IntelliJ, Eclipse, Xcode, etc.), Konsolenbasierte Editoren (Vim,  Nano, ed, etc.), Editoren mit GUI (Sublime, Atom, Gedit, etc.)","IDEs (IntelliJ, Eclipse, Xcode, etc.), Editoren mit GUI (Sublime, Atom, Gedit, etc.)",IntelliJ,Eclipse,Quelleoffen(voll),Nano,Nano,,kate,Atom,mehr Funktionen als Kate,Sehr gut,Sehr gut,Nicht einschätzbar,Mittelmäßig,Gut,Schlecht,Nicht einschätzbar,Nicht einschätzbar,Nicht einschätzbar,Sehr gut,Mittelmäßig,Java/Kotlin,"Java/Kotlin, Python",,,Python,,,,,,,"Debugger, Geringer Verbrauch (Speicher, Leistung, etc.)"
31.05.2019 16:17:04,"Konsolenbasierte Editoren (Vim,  Nano, ed, etc.)","Konsolenbasierte Editoren (Vim,  Nano, ed, etc.)",Keine,Keine,,Vim,Vim,ich musste mich erst daran gewöhnen aber jetzt wo ich das getan habe finde ich vim sehr schön zu benutzen. ich mag dass man die maus nicht braucht und es tastenkombinationen für alles gibt. außerdem benutzen coole leute die ich kenne auch vim,Gedit,Gedit,"er ist auf meinem linux vorinstalliert. und ich kann wortwitze machen (""get it?"")",Nicht einschätzbar,Nicht einschätzbar,Nicht einschätzbar,Sehr gut,Nicht einschätzbar,Nicht einschätzbar,Nicht einschätzbar,Nicht einschätzbar,Nicht einschätzbar,Nicht einschätzbar,Gut,,,,"C/C++, Java/Kotlin, JavaScript, Python, Bash/Konsolen-Scripts",,,,,,,,"Syntax-Highlighting, Geringer Verbrauch (Speicher, Leistung, etc.), nicht ablenken mit zu vielen funktionen (minimalismus)"
31.05.2019 17:14:52,"Konsolenbasierte Editoren (Vim,  Nano, ed, etc.)","Konsolenbasierte Editoren (Vim,  Nano, ed, etc.)",Keine,Keine,,kakoune,kakoune,,Keinen,Keinen,,Nicht einschätzbar,Sehr schlecht,Nicht einschätzbar,Gut,Schlecht,Schlecht,Nicht einschätzbar,Nicht einschätzbar,Nicht einschätzbar,Nicht einschätzbar,Mittelmäßig,,,,"C/C++, Python, Bash/Konsolen-Scripts",,,,,,,,"Geringer Verbrauch (Speicher, Leistung, etc.), Effiziente Tastaturbedienung"
